County,Device ID,Batch,# of Ballots,Location
Arapahoe,2,2,100,ICC 01-1
Arapahoe,2,3,,ICC 01-1
Arapahoe,2,4,99,ICC 01-1
Arapahoe,2,5,99,ICC 01-1
Arapahoe,2,6,98,ICC 01-1
Arapahoe,2,7,98,ICC 01-1
Arapahoe,2,8,101,ICC 01-1
Arapahoe,2,9,96,ICC 01-1
Arapahoe,2,10,104,ICC 01-1
Arapahoe,2,11,105,ICC 01-1
Arapahoe,2,12,95,ICC 01-1
Arapahoe,2,13,94,ICC 01-1
Arapahoe,2,14,106,ICC 01-1
Arapahoe,2,15,102,ICC 01-1
Arapahoe,4,1,99,ICC 03-1
Arapahoe,4,2,101,ICC 03-1
Arapahoe,4,3,102,ICC 03-1
Arapahoe,4,4,98,ICC 03-1
Arapahoe,4,5,101,ICC 03-1
Arapahoe,4,6,99,ICC 03-1
Arapahoe,4,7,103,ICC 03-1
Arapahoe,4,8,97,ICC 03-1
Arapahoe,4,9,103,ICC 03-1
Arapahoe,4,10,101,ICC 03-1
Arapahoe,4,11,103,ICC 03-1
Arapahoe,4,12,97,ICC 03-1
Arapahoe,4,13,107,ICC 03-1
Arapahoe,4,14,93,ICC 03-1
Arapahoe,4,15,97,ICC 03-1
Arapahoe,5,1,104,ICC 04-1
Arapahoe,5,2,96,ICC 04-1
Arapahoe,5,3,105,ICC 04-1
Arapahoe,5,4,95,ICC 04-1
Arapahoe,5,5,98,ICC 04-1
Arapahoe,5,6,102,ICC 04-1
Arapahoe,5,7,96,ICC 04-1
Arapahoe,5,8,103,ICC 04-1
Arapahoe,5,9,97,ICC 04-1
Arapahoe,5,10,99,ICC 04-1
Arapahoe,5,11,100,ICC 04-1
Arapahoe,5,12,100,ICC 04-1
Arapahoe,5,13,99,ICC 04-1
Arapahoe,5,14,101,ICC 04-1
Arapahoe,5,15,101,ICC 04-1
Arapahoe,6,1,98,ICC 05-1
Arapahoe,6,2,99,ICC 05-1
Arapahoe,6,3,104,ICC 05-1
Arapahoe,6,4,96,ICC 05-1
Arapahoe,6,5,101,ICC 05-1
Arapahoe,6,6,103,ICC 05-1
Arapahoe,6,7,97,ICC 05-1
Arapahoe,6,8,102,ICC 05-1
Arapahoe,6,9,98,ICC 05-1
Arapahoe,6,10,102,ICC 05-1
Arapahoe,6,11,97,ICC 05-1
Arapahoe,6,12,103,ICC 05-1
Arapahoe,6,13,99,ICC 05-1
Arapahoe,6,14,99,ICC 05-1
Arapahoe,6,15,101,ICC 05-1
Arapahoe,7,1,98,ICC 06-1
Arapahoe,7,2,102,ICC 06-1
Arapahoe,7,3,101,ICC 06-1
Arapahoe,7,4,101,ICC 06-1
Arapahoe,7,5,101,ICC 06-1
Arapahoe,7,6,99,ICC 06-1
Arapahoe,7,7,104,ICC 06-1
Arapahoe,7,8,104,ICC 06-1
Arapahoe,7,9,96,ICC 06-1
Arapahoe,7,10,104,ICC 06-1
Arapahoe,7,11,99,ICC 06-1
Arapahoe,7,12,101,ICC 06-1
Arapahoe,7,13,95,ICC 06-1
Arapahoe,10,1,101,ICC 09-1
Arapahoe,10,2,99,ICC 09-1
Arapahoe,10,3,102,ICC 09-1
Arapahoe,10,4,98,ICC 09-1
Arapahoe,10,5,99,ICC 09-1
Arapahoe,10,6,96,ICC 09-1
Arapahoe,10,7,106,ICC 09-1
Arapahoe,10,8,94,ICC 09-1
Arapahoe,10,9,101,ICC 09-1
Arapahoe,10,10,99,ICC 09-1
Arapahoe,10,11,101,ICC 09-1
Arapahoe,10,12,96,ICC 09-1
Arapahoe,10,13,104,ICC 09-1
Arapahoe,10,14,99,ICC 09-1
Arapahoe,10,15,40,ICC 09-1
Arapahoe,11,1,105,ICC 10-1
Arapahoe,11,2,100,ICC 10-1
Arapahoe,11,3,100,ICC 10-1
Arapahoe,11,4,98,ICC 10-1
Arapahoe,11,5,102,ICC 10-1
Arapahoe,11,6,96,ICC 10-1
Arapahoe,11,7,104,ICC 10-1
Arapahoe,11,8,102,ICC 10-1
Arapahoe,11,9,98,ICC 10-1
Arapahoe,11,10,103,ICC 10-1
Arapahoe,11,11,97,ICC 10-1
Arapahoe,11,12,94,ICC 10-1
Arapahoe,11,13,106,ICC 10-1
Arapahoe,11,14,101,ICC 10-1
Arapahoe,11,15,99,ICC 10-1
Arapahoe,13,1,10,ICC 02-1
